course_id,course_name,course_prerequisites,course_about
C_course-v1:FUDANx+ECON130088+2019_T1,internet finance (spring 2019),no prerequisites,"



the characteristic of the internet finance course is to make the real into virtual and the virtual into real that is to reproduce the traditional real business in the virtual world and at the same time realize the traditional value creation and the growth of social wealth in the virtual world the internet finance course is a professional course for finance majors with the application of information and network technology as the core and ability training as the focus it is an innovative course for finance majors in the information age it is also a course that needs to be further improved it is practical comprehensive and innovative features through the study of this course students should have an in depth understanding of the connotation of internet finance and its important position in the operation of the network economy understand the basic technical foundation of internet financial operation and master p2p network credit crowdfunding electronic money and electronic payment  internet banking internet securities and internet insurance etc to understand the development history and current situation of internet finance it is particularly important to understand the internal and external impacts that internet finance has brought to the financial industry and the entire economy including issues such as risk control and supervision secondly through the study of this course students should learn to use relevant theories and knowledge of internet finance to analyze financial phenomena and problems in real life and improve their ability to analyze and solve problems as well as innovative ideas 



"
C_course-v1:TsinghuaX+AP000002X+2019_T1,college physics (prerequisite course)-mechanics (spring 2019),it is required to have a high school foundation in mechanics and a foundation in vector and calculus.,"
the preparatory course in college physics mechanics is a preparatory course in mechanics for outstanding high school students who have a solid foundation in mathematics and physics are interested in physics and have the ability to learn it includes particle kinematics particle dynamics momentum and angular momentum contents such as work and energy rigid bodies vibrations and waves special relativity etc estimated to be 36 hours


college physics courses usually present the basic laws of physics simply and clearly in the form of reasonable explanations or inferences supplemented by classroom demonstration experiments based on this you can recognize and understand natural phenomena and learn physical methods to solve practical problems as a mooc course we break the content into many segments based on videos of about 10 minutes each segment contains one or two knowledge points the tutorial content is concise the concepts are accurate and clear and it complements the written teaching materials


this tutorial requires some basic knowledge of calculus and vectors many ideas methods and physical laws derived from mechanics such as the law of conservation of energy the law of conservation of momentum and the law of conservation of angular momentum are universal and are the basis for learning other physical disciplines


considering the different foundations of the students who choose the course we divide the content into basic content and extended content the ones marked with an asterisk are extended content this course only requires mastering the basic content


this course belongs to the chinese college advanced placement cap academic interests course it has received credit certification from tsinghua university and xian jiaotong university students who have passed the online course study and online examination can register for the offline examination of this course and can submit an application for credit certification to the university based on the offline examination transcript and online learning behavior report the application process and score requirements for credit certification are formulated by the academic affairs office of the university based on the situation of the school


according to the arrangements of the china college advanced placement cap council offline exams for this course are scheduled in january and july every year students can register to participate according to their personal learning conditions  welcome to follow the inquiry line at wwwmoocaporgcn next exam registration notice 



"
C_course-v1:TsinghuaX+20120143X+2019_T1,engineering drawing (spring 2019),no prerequisites,"
engineering drawing is a core technical basic course at tsinghua university it occupies an important position in the talent training system of engineering disciplines and has fine traditions and profound accumulation the course is based on modern engineering applications and aims to enable students to master the basic knowledge and basic skills of engineering design expression it is an introductory course for learning engineering science and technology it is also an important carrier for cultivating spatial imagination and innovative thinking abilities it is also an important carrier for students to understand engineering  a bridge into engineering


course content includes projection rules and drawing methods of points lines surfaces and basic bodies axonometric drawings and computer aided two dimensional drawing and three dimensional modeling and the construction of complex shapes cutting bodies intersecting bodies and combination bodies and three views national standards related to engineering drawing commonly used expression methods in engineering multiple views section views cross sectional views dimensioning drawing of standard parts commonly used parts parts drawings assembly drawings and related technical requirements


on the basis of projection theory typical concepts and expression methods such as two dimensional views axonometric sketches and three dimensional solid models are organically combined and freehand drawing instrument drawing and computer drawing are combined with graphic expression as the core image thinking is the main line to cultivate students basic ability and basic quality of engineering design expression
"
C_course-v1:TsinghuaX+40250074X+2019_T1,automatic control theory (1) (spring 2019),"calculus, functions of complex variables, circuit principles","
automatic control theory is a core professional basic course in the automation discipline and is also the theoretical basis for the research and design of complex engineering control systems this course also known as classical control theory includes 1 introduction to control systems focusing on feedback principles 2 modeling of control systems focusing on differential equations and mechanism method modeling laplace transform and transfer functions  frequency response model data driven model and the composition and block diagram transformation of typical control systems 3 analysis and performance evaluation of control systems including the time response structural properties stability steady state accuracy dynamic performance and timing of dynamic systems domain frequency domain analysis method 4 frequency domain design of control system pid controller and parameter tuning method lead and lag correction


main historical evolution of curriculum development



tsinghua university is one of the first universities in new china to offer courses related to control theory 20before the 60s professors such as zhong shimo wu qi zheng weimin and fang chongzhi established control theory or regulation programs in the department of automatic control department of electrical engineering and department of power machinery principles course since the establishment of the automation department in the 70s most of the teachers in the school who research and teach control theory have been concentrated in the automation department this course has always been the core professional basic course of the automation department and the previous leaders of the department have paid great attention to the construction of the knowledge course after the establishment of the department of automation professors wu qi zheng weimin and fang chongzhi first organized and taught all automatic control theory courses in the department later professors zheng dazhong dai zhongda and wang shimi continued to organize the construction of automatic control theory courses and won the second prize for outstanding achievements in teaching at tsinghua university in 1990 at the beginning all students in the department took courses in automatic control theory in several large classes later the deputy director of teaching in the department coordinated and coordinated first the whole department taught in separate classes and unified examinations then gradually the whole system taught in one class and unified examinations moreover in the 90s attempts were made to teach in english and achieved good results during this period two sets of teaching materials were published principles of automatic control edited by professor wu qi uses the method of unified mathematical description and separate engineering processing to properly handle the connections and differences between classical control theory and state space methods basics of automatic control theory edited by professor dai zhongda combines the two methods and is compiled in a unified manner principles of automatic control edited by professor wu qi has always been one of the more influential textbooks in china in order to improve students reading and comprehension skills and expand students knowledge this course always uses the latest translated foreign textbooks or original textbooks as teaching reference books during the construction of national level quality courses professors wu qi and wang shimi completed the compilation and publication of principles of automatic control 2 edition which deleted and simplified some old or simple calculation drawings knowledge and chapters related to new achievements in the subject have been added the course automatic control theory was awarded the title of national quality course and national quality resource sharing course in 2007 and 2016 



"
C_course-v1:TsinghuaX+Pr20170406-SC_p1+sp,smart car production: embedded system,this course only requires the foundation of c language programming. the basic principles of computers and digital logic technology will be supplemented in the course to arrange teaching for practice and encourage hands-on practice and free innovation.,"
 this course is one of the smart car production series of micro courses organized by the secretariat of the national college student smart car competitionit helps students get started and understand quickly in limited hours spanarmmicrocontrollers single chip microcomputer and embedded systems suitable for undergraduates and enthusiasts who want to participate in the competition  


 microcontroller and embedded system technology is very suitable for lower year undergraduate students who are beginning to try to challenge various extracurricular science and technology activities and competitions is a very powerful tool and stepping stone when trying out design and innovation for the first time the 32 bit microcontroller with arm cortex m architecture has rich peripheral interfaces and moderate on chip resources and can realize most commonly used functions at the same time  spanarm cotex ms 32 bit core architecture is relatively simple and easy to learn easy to understand and grasp as a whole and is suitable for low end users grade students start learning 


 this micro course introduces the basic methods and processes of microcontroller development it takes the 32 bit microcontroller used in the national college student smart car competition as an example to explain microcontrollers the general method of microcontroller and embedded application development allows students to run a basic microcontroller system as quickly as possible realize their own ideas and then participate in various scientific and technological activities such as the national college student smart car competition 


this micro course is a selected version of the xuetang online mooc course arm microcontroller and embedded systems interested students are welcome to choose this course for further in depth study
"
C_course-v1:TsinghuaX+20320074X+2019_T1,arm microcontrollers and embedded systems (spring 2019),this course only requires a basic knowledge of c programming language,"
 this course requires students to have the basics of c language programming and the course will gradually explain arm microcontrollers microcontrollers single chip microcomputer and embedded systems  arranges teaching for practice encourages hands on practice and free innovation and is suitable for undergraduates and enthusiasts who want to participate in scientific and technological activities  


 traditional undergraduate teaching requires more prerequisite courses and basic knowledge before learning embedded systems which are arranged in the senior year of the undergraduate program but in fact microcontroller and embedded system technology is very suitable for  junior undergraduate students who are beginning to try to challenge various extracurricular science and technology activities and competitions span is a very powerful tool and stepping stone when trying out design and innovation for the first time 


 arm cortex m architectures 32 microcontroller has rich peripheral interfaces and moderate on chip resources and can realize most commonly used functions at the same time arm cotex ms 32 core architecture is relatively simple and easy to learn and easy to understand and grasp as a whole  suitable for lower grade students to start learning this course introduces the basic methods and processes of microcontroller development at the same time it takes the 32 bit microcontroller used in the national college student smart car competition as an example to explain the relationship between microcontrollers and embedded the general method of application development allows students to run a basic microcontroller system as quickly as possible realize their own ideas and then participate in various scientific and technological activities such as the challenge cup and the national college student smart car competition 
"
C_course-v1:TsinghuaX+80240372X+2019_T1,data mining: theory and algorithms (spring 2019),"probability and statistics, linear algebra, data structures, programming","
this course completely covers all core technologies in the field of data mining including data preprocessing classification clustering regression association recommendation ensemble learning evolutionary computing etc emphasizing on finding the best balance between the breadth depth and interest of knowledge the core ideas and key technologies of data mining as well as some important knowledge points rarely covered in other related courses and textbooks are described in vivid humor this course is suitable for students from various majors and engineering technicians who are interested in big data and data science it does not pursue pure theoretical derivation but organically combines theory with practice allowing students to learn living knowledge useful knowledge and real your own knowledge especially research methods and ways of thinking in the field of data analysis
"
C_course-v1:TsinghuaX+THU201606X+2019_T1,advanced big data systems (spring 2019),"prerequisite knowledge: operating systems, data structures, high-level programming languages;","
in recent years artificial intelligence technology has rapidly penetrated into different areas of the industry therefore big data systems are the foundation for realizing todays data driven ai and therefore become crucial this course is dedicated to guiding students to learn the basic concepts of big data systems covering how data is effectively stored processed and analyzed we start from general principles of distributed systems design we then provide a framework on how to scale storage computing and networking capabilities in big data systems and finally to make these design principles easy to follow our case studies use real industrial systems to demonstrate how basic design principles can be applied to a real system and how to analyze its performance and limitations
"
C_course-v1:TsinghuaX+70240403+2019_T1,big data machine learning (spring 2019),"have certain programming ability, and have taken probability courses before, as well as basic courses in artificial intelligence or data mining.","
the big data machine learning course is a basic theoretical course for senior undergraduates or graduate students in the information discipline the purpose is to cultivate students to have an in depth understanding of the theoretical basis of big data machine learning a firm grasp of big data machine learning methods and the ability to comprehensive ability to solve practical problems the main contents of the course include basic theories of statistical learning basic methods of machine learning and deep learning theories and methods 
"
C_course-v1:TsinghuaX+THESIS2014_1X_tv+_2014_,2014 tsinghua university graduate thesis defense (1),no prerequisites,"thesis defense is an important part of graduate training in order to give full play to the educational role of this link build a platform for academic exchanges and further ensure and improve the quality of graduate training the graduate school of tsinghua university will apply for degrees starting from the spring semester of 2014 some representative dissertation defenses among doctoral and masters students were selected for video recording and the defense videos were uploaded to xuetang online for the first time so that more people can share these resources and build a broader academic exchange platform
this semester there will be students from the school of economics and management pbc school of finance department of chemistry school of marxism school of architecture school of humanities institute of interdisciplinary information school of aeronautics and astronautics department of computer science department of engineering physics department of automation department of physics school of journalism videos of thesis defenses of more than 20 doctoral and master students from different departments covering more than ten disciplines
if these videos can help and inspire your academic research we are very much looking forward to it and would like to see it "
C_course-v1:Tsinghua+20181011X+2018_T2,youth ai self-improvement program-computer vision course,high school mathematics knowledge,"
this course is a computer vision course for youthaiself improvement project   the main organizer  the speakers and participants are all students solving practical problems for students bridging the gap between technical novices and teachers think you understand bridging spanthe gap between textbook and practicesolve the problem that general academic articlesresources are not easy to read this course mainly consists of 8 lectures and 1 transformation challenge task the lectures are held every other week each lecture will use easy to understand language to guide everyone to master ai related knowledge points including ai birds eye view and advanced guide introduction to machine learning classic neural networks deep neural networks convolutional neural networks classification tasks and detection tasks  examples and parameter adjustment methods and finally lead everyone to practice through transformation challenge tasks etc
"
C_course-v1:TsinghuaX+70240183x_1+2019_T1,computational geometry (spring 2019),"c/c++ programming, data structures and algorithms",as we all know the history of geometry can be traced back to at least the ancient greek times but different people have different understandings of computational geometry the computational geometry discussed in this course originates from the combination of classical discretecombinatorial geometry and modern computer science the doctoral thesis completed by m i shamos in 1978 marked the birth of this branch of the discipline since then computational geometry has often referred specifically to the study of algorithms for discrete and combinatorial geometric structures in short it can also be considered as the geometric version of algorithm design and analysis the teaching objectives of this course are threefirst to gain an overall understanding of computational geometry theory this understanding will provide you with a geometric perspective in future research work psecondly a comprehensive understanding of geometric problem solving paradigms and strategies including incremental construction plane scanning divide and conquer layering approximation randomization etcfinally a thorough understanding of basic geometric structures a thorough grasp of its algorithms including convex hull polygon subdivision voronoi diagram delaunay triangulation as well as geometric intersection point positioning range search window query etc
C_course-v1:SCUT+145055+sp,data structures (autonomous mode),"before taking this course, you need to learn c++","
 


data structure is an important professional basic course for various majors in computer science this course mainly discusses the logical structure storage structure algorithm design and algorithm evaluation of data allowing students to have an in depth understanding of various data structures such as linear tables stacks queues trees graphs etc as well as basic algorithms such as search and sorting understand it also requires students to systematically master the ideas and techniques of algorithm design on different data structures for specific engineering problems data structure is a course with strong theoretical and practical aspects


course performance assessmentdaily homework 100pass score 60 points 



"
C_course-v1:TsinghuaX+81020142X+sp,ic design and methods (autonomous mode),"digital circuits (logic circuits, digital integrated circuits)",integrated circuits are one of the essential components of modern electronic systems the design process of digital integrated circuits includes front end design and back end design in the front end design stage on the basis of completing the digital system architecture and algorithm design the main design is register transfer level rtl code and logic synthesis generates a gate level netlist the back end design includes layout planning standards brick unit placement and routing layout generation and inspection etc this course introduces the ic design process and design methods basic knowledge of vhdl and verilog languages simulation tools basic concepts of synthesis and tool usage 
C_course-v1:CSU+20180918X+2018_T2,ideological and moral cultivation and legal foundation (central south university),"possess certain ideological and political knowledge, ethics and morals, and legal knowledge","
ideological and moral cultivation and legal basis is an ideological and political theory course that integrates ideological political scientific theoretical and practical aspects studying this course will help college students understand the true meaning of life strengthen their ideals and beliefs practice the core socialist values and become loyal patriots in the new era and a new force in reform and innovation it will help college students form a correct moral understanding and actively devote themselves to morality practice to achieve great ethics abide by public ethics and strictly enforce private ethics help college students comprehensively grasp the essence operation and system of socialist law understand the essence of the socialist legal system and legal path with chinese characteristics enhance legal awareness and develop thinking about the rule of law better exercising legal rights fulfilling legal obligations respecting the law learning the law abiding by the law and using it so as to have excellent ideological and moral quality and legal literacy


through the study of this course students must master a wealth of ideological moral and legal knowledge first with the education of ideals and beliefs as the core students must carry out in depth scientific and correct worldview outlook on life and values education the second is to focus on patriotism education and carry out in depth education to promote and cultivate the national spirit and the spirit of the times the third is to carry out in depth citizen moral education based on basic moral norms the fourth is to aim at the all round development of college students carry out quality education in depth promote the coordinated development of college students ideological and moral qualities scientific and cultural qualities and physical and mental health qualities and guide college students to become new socialist people with ideals morality culture and discipline the fifth is to cultivate and improve the legal literacy of college students respect the law learn the law abide by the law and use it


in terms of ability we must learn to correctly handle the relationship between morality and talent use theory to analyze ones own ideological reality and social reality and improve the cognitive ability and behavioral selection ability to distinguish right from wrong good and evil beauty and ugliness in terms of quality strive to arm your mind with marxist theory and socialist core values constantly improve your political quality ideological and moral quality and legal quality and have both ability and political integrity
"
C_course-v1:KMUSTX+1193004+2019_T1,quickly understand 3ds max (spring 2019),ability to operate multimedia software,"
 


3ds max is a three dimensional modeling rendering and animation software with its rational system design powerful polygon modeling functions and the support of many plug ins it is recognized by domestic and foreign scholars as an easy to learn easy to use and powerful 3d software with a wide range of users in fields such as game production virtual reality interior design and film and television animation mastering 3ds max is still a prerequisite for joining the company


in this set of tutorials we have summarized some of the most practical methods and tips in 3ds max we hope that through studying this set of tutorials we can help students quickly and efficiently master the basic knowledge of 3dsmax and learn ideas and methods for solving problems lay the foundation for subsequent courses


 chapter 1 will tell you the necessary operation methods in 3ds max allowing you to flexibly control objects 
  chapter 2 will introduce three super practical modeling methods to help you easily control simple models 
  chapter 3 will help you understand the characteristics of light learn to select and set lighting parameters and render and output your own works 
  chapter 4 helps you understand materials and easily realize the texture of objects you want to express 
  chapter 5 we learn to control key frames and achieve some simple animation effects 
  chapter 6 lets talk about other software that allows you to easily create virtual reality vr  and augmented reality ar works  
  chapter 7 let the master tell you what bpr is 
we have prepared for you in the follow up quickly understand 3d modeling allowing you to have an in depth understanding of the core techniques of 3d character modeling quickly understand unity3d game development experience allowing art students to easily make games if you want to learn these courses in more depth this set of 3ds max basic courses will be your key to unlock them what are you waiting for lets start our virtual tour now










"
C_course-v1:TJU+2010241X+sp,principles and methods of garden plant landscape (independent mode),"relevant knowledge of garden botany, garden ecology, and landscape planning and design","
the principles and methods of garden plant landscape course is a required course for the masters degree in landscape architecture engineering offered by the school of architecture and urban planning of tongji university it is also a public elective course for architecture urban planning environmental art civil engineering and other related majors 


the main content of this course includes three major aspects namely plant germplasm resources and garden ecology plant landscape planning and design and plant landscape engineering technology 1 the main courses of plant germplasm resources and garden ecology include the characteristics and current situation of garden plant germplasm resources the ornamental value of rare and endangered plants garden ecology and biodiversity near natural garden theory and garden plant aesthetics 2 plants landscape planning and design courses include urban park planting design urban road greening design residential area greening design and vertical greening plants roof greening plants waterscape greening plants square greening plants landscape planning and design as well as specialized plant gardens large public green spaces and scenic tourism plant landscaping in the area 3 plant landscape engineering technology includes urban green space construction technology climate change response and plant species selection 

features of this course 1 theory and practice are closely integrated and the key technologies of garden plant landscaping are explained through a large number of engineering practice cases 2 international perspective and academic frontiers keeping up with the latest trends in garden plant landscaping at home and abroad and updating it in a timely manner course content"
C_course-v1:GIT+0500002402+2018_T2,circuit principle,"advanced mathematics, college physics",circuit principles is the first professional basic course for students majoring in electricity and information it is an introductory course for the study of circuit theory through the study of this course students can master the basic knowledge of circuit theory and circuit analysis methods and be equipped with the ability to analyze and solve electronic the ability to solve basic electrical engineering problems and prepare the necessary knowledge reserves for subsequent professional courses plays a vital role in the entire professional learning
C_course-v1:BIT+PHY1701702+sp,college physics - electromagnetism (autonomous mode),advanced mathematics,electromagnetism is an important branch of physics its research object is the most basic laws of electromagnetic motion and various phenomena caused by it the development of electromagnetism is not only closely related to peoples daily life and production technology but also is the basis for the development of electrical engineering radio electronics electronic computer technology and other new sciences and technologies here we focus on elaborating the basic concepts basic laws and basic theorems of electrostatic fields and steady magnetic fields from the perspective of fields revealing the physical nature of electromagnetic induction phenomena and finally introduce the preliminary knowledge of electromagnetic field theory through course study students master the basic laws and phenomena of electric fields magnetic fields and electromagnetic induction especially the basic laws and theorems of electromagnetic fields including coulombs law gausss theorem of electrostatic fields and the loop theorem of electrostatic fields  amperes law gausss theorem of magnetic field amperes loop theorem electromagnetic induction law etc and use these theorems and laws to analyze and solve some problems in electromagnetism 
C_course-v1:TsinghuaX+10421084X+2019_T1,calculus - multivariate functions and heavy integrals (spring 2019),"the prerequisite courses are ""calculus of functions of one variable"" and ""linear algebra and spatial analytical geometry"".","
calculus is not only the cornerstone of the development of modern mathematics but also an important foundation for modern natural sciences social sciences and management sciences calculus is an important common basic course for all university majors and a necessary condition for learning subsequent courses calculus   multivariate functions and heavy integrals is mainly for students majoring in science and engineering at tsinghua university with more than 1100 students taught each semester 




calculus   multivariate functions and heavy integrals the main content of the course includes differential calculus of multivariate functions applications of differential calculus of multivariate functions heavy integrals and their simple applications curve integrals and surface integrals ordinary differential equations 






this course was funded by google during the production process and we would like to express our gratitude
"
C_course-v1:TsinghuaX+10421075X+2019_T1,calculus—limit theory and functions of one variable (spring 2019),no prerequisites,"
calculus is not only the cornerstone of the development of modern mathematics but also an important foundation for modern natural sciences social sciences and management sciences calculus is an important common basic course for all university majors and a necessary condition for learning subsequent courses calculus   limit theory and functions of one variable is mainly for students majoring in science and engineering at tsinghua university with more than 1100 students taught each semester


the main content of the calculus   limit theory and functions of one variable course includes real numbers and functions limit theory differential calculus of functions of one variable and integral calculus of functions of one variable


the introduction of closed interval compactness and real number completeness in the limit theory part is worth looking forward to


the differential calculus section introduces basic contents such as continuity derivatives differentials and applications of derivatives


the integral calculus section introduces the content of indefinite integrals and definite integrals emphasizing the idea of definite integrals and basic integration methods
"
C_course-v1:TsinghuaX+20430054X_1+sp,electrodynamics (lower) (autonomous mode),"general physics or college physics; theoretical mechanics or analytical mechanics; calculus; complex variable functions; mathematical equations. among the above-mentioned courses, the one that must be taken first is calculus.","
this is the only course among the four mechanics of undergraduate theoretical physics in physics that involves basic interaction forces it is also the most difficult course one of the most difficult in undergraduate physics there are no mathematical physics students left in this course a profound memory that can never be erased in a lifetime the main difficulty lies in the extensive use of field theories based on calculus in mathematics in particular it is necessary to solve various partial differential equations and organically combine mathematics and physics


electromagnetic interaction is the most basic interaction that controls the formation and movement of matter from the atomic scale to the macroscopic scale and has thus become the physical basis for most phenomena around us this course introduces the basic phenomena and laws of electromagnetic interaction at the macroscopic scale it is intrinsically linked to many cutting edge advances in physics this course is required for many more advanced and in depth physics courses and for many physics based engineering and applied courses
"
C_course-v1:TsinghuaX+20430054X1+sp,electrodynamics (top) (autonomous mode),"general physics or college physics; theoretical mechanics or analytical mechanics; calculus; complex variable functions; mathematical equations. among the above-mentioned courses, the one that must be taken first is calculus.","
this is the only course among the four mechanics of undergraduate theoretical physics in physics that involves basic interaction forces it is also the most difficult course one of the most difficult in undergraduate physics there are no mathematical physics students left in this course a profound memory that can never be erased in a lifetime the main difficulty lies in the extensive use of field theories based on calculus in mathematics in particular it is necessary to solve various partial differential equations and organically combine mathematics and physics


electromagnetic interaction is the most basic interaction that controls the formation and movement of matter from the atomic scale to the macroscopic scale and has thus become the physical basis for most phenomena around us this course introduces the basic phenomena and laws of electromagnetic interaction at the macroscopic scale it is intrinsically linked to many cutting edge advances in physics this course is required for many more advanced and in depth physics courses and for many physics based engineering and applied courses
"
C_course-v1:TsinghuaX+20330334X_2015_2+sp,theoretical mechanics (autonomous mode),"prerequisites include calculus concepts in mathematics, force and vector concepts in physics.",theoretical mechanics is both a basic subject and a technical subject on the one hand it is the basis of many engineering courses and at the same time it can independently handle many engineering problems the theoretical mechanics course content is classified according to research methods including vector mechanics geometric mechanics based on newtons laws analytical mechanics based on the variational principle according to the classification of research content it is divided into kinematics the study of the description of motion dynamics the study of the relationship between the force of motion and motion statics the study of the relationship between force and balance teaching arrangementintroductionpart ikinematicschapter 1kinematics of pointschapter 2kinematics of rigid bodieschapter 3compound motionpart iistaticschapter 4geometric staticschapter 5 analytical staticspart iiidynamicschapter 6particle dynamics pchapter 7particle system dynamicschapter 8analytical dynamicspart iv special topics in dynamicschapter 9rigid body dynamicschapter 10dynamics of variable mass systems pchapter 11basics of mechanical vibrationthe first three articles are the main content of teaching and the fourth article can select part of the content to explain according to the situation in the teaching process in addition to regular lectures and exercises there are also a large number of lively and interesting small lectures tv program clips and interesting mechanics games related to the course content in addition some competition content will be announced and offline competitions will be held 
C_course-v1:TsinghuaX+10421084X_2015_2+sp,calculus b(2)(autonomous mode),"the prerequisite courses are ""calculus of functions of one variable"" and ""linear algebra and spatial analytical geometry"".",calculus is not only the cornerstone of the development of modern mathematics but also an important foundation for modern natural sciences social sciences and management sciences calculus is an important common basic course for all university majors and a necessary condition for learning subsequent courses calculus b is mainly for students majoring in science and engineering at tsinghua university with more than 1100 students taught each semester the main content of the calculus b 2 course includes differential calculus of multivariate functions applications of differential calculus of multivariate functions heavy integrals and their simple applications curve integrals and surface integrals and ordinary differential equations this course was funded by google during the production process and we would like to express our gratitude 
C_course-v1:MIL+MIL2016001+sp,introduction to the basic situation of my country’s 14 neighboring land neighbors (independent mode),no prerequisites,"
 in the eastern part of the eurasian continent and on the west coast of the pacific ocean stands china a country with the longest land border and many neighboring countries in the world around our beautiful homeland there are such countries as north korea the land of morning russia across the eurasian continent passionate mongolia kazakhstan the largest landlocked country in the world and kyrgyzstan known as the switzerland of central asia  tajikistan known as the mountain country afghanistan which serves as an important barrier and bridge in the southern part of central asia pakistan the land of halal india one of the four ancient civilizations in the world and nepal the land of ten thousand buddhas  bhutan the country with the highest happiness index in asia myanmar the land of pagodas laos the only landlocked country without a coastline in the northern part of the indochina peninsula and vietnam the land of bamboo hats these countries are close to my countrys land border with a total length of about 22000 kilometers outlining the beautiful and rich land of china they are only one step away from us but they are extremely mysterious next let us walk into these mysterious countries together 






"
C_course-v1:TsinghuaX+90640012X+sp,living english reading and writing (independent mode),no prerequisites,"
as two very important aspects of a language reading allows us to acquire rich knowledge and writing allows us to express our inner thoughts mastering correct reading skills and writing skills can enable us to better obtain and express information this course is led by chinese and foreign teachers and tsinghua students to explore the english world in real life scenarios


 this course starts from eight themes including learning university culture city education behavioral theory interpersonal communication and the meaning of life each theme consists of theme texts two articles explanation of key words and sentences explanation of reading skills it consists of modules such as guest interviews composition correction and writing skills explanation introduction to english learning methods and literary appreciation the theme text modules revolve around carefully selected topics allowing you to experience rich and colorful culture and broaden your horizons they are also equipped with corresponding explanations of key words and sentences to make your english knowledge base larger the reading skills module is based on in the form of teacher student interaction teachers and english major graduate students will lead everyone to discuss the secrets of english reading from the perspective of learners the guest interview module invites three guest teachers to introduce and share learning culture and other aspects  the writing part includes composition correction and explanation of writing skills selecting topic related cet 4 and cet 6 composition examination questions each with two real writing cases of students and explaining writing skills in the form of composition correction the english learning methods module is conducted in the form of interviews  international student teaching assistants will share their english learning experience with everyone the literary appreciation module selects eight literary masterpieces allowing learners to explore the ocean of literature through teacher student interaction 


feel the charm of language with us and let us achieve a leap in english reading and writing together
"
C_course-v1:TsinghuaX+20440333X+sp,organic chemistry (independent mode),no prerequisites,"
   organic chemistry is an extremely important branch of chemical science and one of the most fascinating basic subjects the main content includes the nomenclature structural characteristics physical properties chemical properties uses sources and preparation methods of various organic compounds according to the different structures of organic compounds they can be divided into alkanes alkenes alkynes aromatics halogenated hydrocarbons alcohols phenols ethers aldehydes ketones carboxylic acids carboxylic acid derivatives amines nitro compounds heterocyclic compounds etc this course will introduce the structure properties chemical reactions and preparation methods of these compounds in detail in chapters focus on introducing some basic reaction types such as substitution reaction addition reaction elimination reaction rearrangement reaction redox reaction etc the reaction mechanism reaction conditions influencing factors and application scope are introduced in addition the organic structure theory is introduced in detail to establish the relationship between the structure and reactivity of various compounds the basic concepts of stereochemistry of organic molecules and the structural identification methods of organic compounds
"
C_course-v1:TsinghuaX+400182X+sp,the mystery of medicine (autonomous mode),no prerequisites,"
as one of the best comprehensive universities tsinghua university has the responsibility and obligation to train physician scientists who are well versed in modern life science research they not only have solid clinical skills and perform well at the bedside but they are also able to freely apply new knowledge and tools of modern life sciences to creatively solve clinical problems and they also perform well in the laboratory of translational medical research what are the differences between the physician scientists trained by tsinghua university school of medicine compared with other institutions how does tsinghua university leverage the advantages of a comprehensive university to achieve this goal


our course provides a detailed interpretation of the unique 323 eight year training plan of the medical experimental class through the study of this course you can have a general understanding of the training system for physician scientists at tsinghua university and gain an understanding of medicine have a deeper understanding of the various scientific research directions of the institute students can not only understand the characteristics of medical disciplines but also form a preliminary understanding of the basic disciplines of medical school such as immunity infectious diseases neuroscience stem cells structural biology etc in addition the course will also provide an overview of clinical medicine introduction


after completing this course students will have a deeper understanding of the physician scientists trained by tsinghua university school of medicine they are doctors first but they not only have noble medical ethics and superb medical skills but also possess strong scientific research capabilities and can he is a leading talent in the international medical community who points the way for modern medicine and pioneers innovations
"
